doi,title,publication year,publication venue,type,issue,volume
10.1143/jjap.33.l715,Flux Pinning in Melt-Grown $\bf NdBa_{2}Cu_{3}O_{\ninmbi y}$ and $\bf SmBa_{2}Cu_{3}O_{\ninmbi y}$ Superconductors,1994,Japanese Journal of Applied Physics,journal article,"Part 2, No. 5B",33
10.4028/www.scientific.net/msf.500-501.49,Thin Slab Direct Rolling of Microalloyed Steels,2005,Materials Science Forum,journal article,,500-501
10.1051/metal:2003127,Steel product development in ACB - Initial and present situation - Productivity increase and new developments on thin slab casting and rolling,2003,Revue de Métallurgie,journal article,6,100
10.4028/www.scientific.net/msf.500-501.131,Influence of Ti on Static Recrystallization in Near Net Shape Steels,2005,Materials Science Forum,journal article,,500-501
10.4028/www.scientific.net/msf.500-501.155,Microstructural Evolution of Two Medium Carbon Microalloyed Steels during Hot Forging Process,2005,Materials Science Forum,journal article,,500-501
10.1016/s1359-6454(99)00094-4,Low temperature superplasticity of AZ91 magnesium alloy with non-equilibrium grain boundaries,1999,Acta Materialia,journal article,7,47
10.4028/www.scientific.net/msf.500-501.245,Optimization of Rolling Conditions in Nb Microalloyed Steel Processed by Thin Slab Casting and Direct Rolling Route: Processing Maps,2005,Materials Science Forum,journal article,,500-501
10.2355/isijinternational.36.1507,Mathematical Modeling of Mean Flow Stress during the Hot Strip Rolling of Nb Steels.,1996,ISIJ International,journal article,12,36
10.4028/www.scientific.net/msf.500-501.403,Modeling Ferrite Grain Size Distributions during the Transformation of Hot Worked Austenite,2005,Materials Science Forum,journal article,,500-501
10.1179/mst.1987.3.4.249,Effect of cooling rate on grain size of ferrite in a carbon steel,1987,Materials Science and Technology,journal article,4,3
10.2355/isijinternational1966.22.608,Effects of Interrupted Accelerated Cooling after Controlled Rolling on the Mechanical Properties of Low Alloy Steels,1982,Transactions of the Iron and Steel Institute of Japan,journal article,8,22
10.4028/www.scientific.net/msf.500-501.411,Ferrite Grain Size Refinement in Vanadium Microalloyed Structural Steels,2005,Materials Science Forum,journal article,,500-501
10.1007/bf02652268,Intragranular ferrite nucleation in medium-carbon vanadium steels,1994,Metallurgical and Materials Transactions A,journal article,5,25
10.4028/www.scientific.net/msf.500-501.495,Mechanical Properties of Low-Temperature Bainite,2005,Materials Science Forum,journal article,,500-501
10.1051/jp4:2003884,Low temperature bainite,2003,Journal de Physique IV (Proceedings),journal article,,112
10.4028/www.scientific.net/msf.500-501.761,Influence of Vanadium Microaddition on the Microstructure and Mechanical Properties of High Strength Large Diameter Wire-Rods,2005,Materials Science Forum,journal article,,500-501
10.1179/mst.1989.5.3.227,Strengthening in pearlite formed from thermomechanically processed austenite in vanadium steels and implications for toughness,1989,Materials Science and Technology,journal article,3,5
10.1007/bf02646709,Precipitation of VC in ferrite and pearlite during direct transformation of a medium carbon microalloyed steel,1978,Metallurgical Transactions A,journal article,2,9
10.1007/bf02644057,Transformation from austenite in alloy steels,1976,Metallurgical Transactions A,journal article,7,7
10.1016/0502-8205(56)90005-3,The austenite: Pearlite reaction,1956,Progress in Metal Physics,journal article,,6
10.4028/www.scientific.net/msf.495-497.1565,Texture Evolution and Earing in Aluminium Can Sheet,2005,Materials Science Forum,journal article,,495-497
10.1016/0001-6160(88)90172-1,Overview no. 76,1988,Acta Metallurgica,journal article,11,36
10.4028/www.scientific.net/msf.503-504.149,Microstructure and Thermal Stability of Ultra Fine Grained Mg-Based Alloys Prepared by High Pressure Torsion,2006,Materials Science Forum,journal article,,503-504
10.1016/s0921-5093(01)01290-4,Creep-resistant magnesium alloys,2002,Materials Science and Engineering: A,journal article,1-2,324
10.4028/www.scientific.net/msf.503-504.267,Monotonic and Cyclic Behavior of Ultrafine Grain Metals:Overview,2006,Materials Science Forum,journal article,,503-504
10.4028/www.scientific.net/msf.503-504.799,The Effect of the Initial Orientation on Microstructure Development of Copper Single Crystals Subjected to Equal-Channel Angular Pressing,2006,Materials Science Forum,journal article,,503-504
10.4028/www.scientific.net/msf.503-504.811,Fracture and Fatigue Resistance of Ultrafine Grain CuCrZr Alloy Produced ECAP,2006,Materials Science Forum,journal article,,503-504
10.13182/fst03-a341,Fracture Strength of CuCrZr in High Temperature Environment,2003,Fusion Science and Technology,journal article,1,44
10.1016/s0920-3796(01)00336-2,Stress analysis around DSCu/SS316 HIP bonded interface,2001,Fusion Engineering and Design,journal article,,56-57
10.4028/www.scientific.net/msf.503-504.835,Anelasticity and Structural Stability of ECAP Processed Al-Mg-Si Alloys Investigated by Mechanical Spectroscopy,2006,Materials Science Forum,journal article,,503-504
10.1016/s1359-6454(99)00033-6,Pre-precipitate clusters and precipitation processes in Al–Mg–Si alloys,1999,Acta Materialia,journal article,5,47
10.4028/www.scientific.net/msf.503-504.841,A Transmission Electron Microscopy Study of the Role of Sc+Zr Addition to a 6082-T8 Alloy Subjected to Equal Channel Angular Pressing,2006,Materials Science Forum,journal article,,503-504
10.1016/s0921-5093(01)01288-6,The use of severe plastic deformation for microstructural control,2002,Materials Science and Engineering: A,journal article,1-2,324
10.4028/www.scientific.net/msf.500-501.803,Influence of Second Phase Particles on Recrystallisation of Cold-Rolled Low Carbon Microalloyed Steels during Isothermal Annealing,2005,Materials Science Forum,journal article,,500-501
10.1179/imr.1994.39.4.129,Cold rolling and annealing textures in low carbon and extra low carbon steels,1994,International Materials Reviews,journal article,4,39
10.1179/imr.1982.27.1.307,Role and control of texture in deep-drawing steels,1982,International Metals Reviews,journal article,1,27
10.1007/bf01843476,Walz- und Rekristallisationstextur von Eisenblech,1930,Zeitschrift für Physik,journal article,9-10,62
10.4028/www.scientific.net/msf.503-504.971,Structure and Mechanical Properties of Submicrocrystalline Copper Produced by ECAP to Very High Strains,2006,Materials Science Forum,journal article,,503-504
10.1016/0921-5093(95)09705-8,Materials processing by simple shear,1995,Materials Science and Engineering: A,journal article,2,197
